3.75	49.975479	26.423656
3.76	50.240074	26.494968
3.77	50.505379	26.566284
3.78	50.771397	26.637604
3.79	51.038128	26.708927
3.80	51.305573	26.780254
3.81	51.573730	26.851585
3.82	51.842602	26.922920
3.83	52.112186	26.994257
3.84	52.382484	27.065598
3.85	52.653496	27.136942
3.86	52.925220	27.208290
3.87	53.197659	27.279642
3.88	53.470810	27.350998
3.89	53.744678	27.422358
3.90	54.019260	27.493719
3.91	54.294556	27.565084
3.92	54.570564	27.636454
3.93	54.847286	27.707827
3.94	55.124722	27.779203
3.95	55.402870	27.850582
3.96	55.681732	27.921965
3.97	55.961308	27.993351
3.98	56.241596	28.064741
3.99	56.522602	28.136135
4.00	56.804321	28.207531
4.01	57.086754	28.278931
4.02	57.369900	28.350334
4.03	57.653759	28.421741
4.04	57.938332	28.493153
4.05	58.223621	28.564566
4.06	58.509624	28.635983
4.07	58.796341	28.707403
4.08	59.083771	28.778828
4.09	59.371918	28.850254
4.10	59.660778	28.921684
4.11	59.950352	28.993118
4.12	60.240639	29.064556
4.13	60.531643	29.135996
4.14	60.823360	29.207439
4.15	61.115791	29.278887
4.16	61.408936	29.350338
4.17	61.702797	29.421791
4.18	61.997372	29.493248
4.19	62.292660	29.564709
4.20	62.588665	29.636171
4.21	62.885384	29.707638
4.22	63.182816	29.779108
4.23	63.480965	29.850582
4.24	63.779827	29.922058
4.25	64.079407	29.993538
4.26	64.379700	30.065022
4.27	64.680710	30.136507
4.28	64.982430	30.207996
4.29	65.284866	30.279490
4.30	65.588020	30.350985
4.31	65.891891	30.422483
4.32	66.196472	30.493986
4.33	66.501770	30.565491
4.34	66.807785	30.636999
4.35	67.114510	30.708511
4.36	67.421951	30.780025
4.37	67.730110	30.851543
4.38	68.038986	30.923065
4.39	68.348572	30.994589
4.40	68.658875	31.066116
4.41	68.969894	31.137646
4.42	69.281631	31.209179
4.43	69.594078	31.280716
4.44	69.907242	31.352255
4.45	70.221123	31.423798
4.46	70.535721	31.495344
4.47	70.851028	31.566893
4.48	71.167053	31.638445
4.49	71.483795	31.709999
4.50	71.801254	31.781557
4.51	72.119431	31.853119
4.52	72.438316	31.924683
4.53	72.757919	31.996250
4.54	73.078239	32.067822
4.55	73.399277	32.139393
4.56	73.721031	32.210968
4.57	74.043495	32.282547
4.58	74.366676	32.354130
4.59	74.690575	32.425716
4.60	75.015190	32.497303
4.61	75.340523	32.568893
4.62	75.666573	32.640488
4.63	75.993332	32.712086
4.64	76.320808	32.783684
4.65	76.649002	32.855286
4.66	76.977913	32.926891
4.67	77.307541	32.998501
4.68	77.637886	33.070110
4.69	77.968948	33.141724
4.70	78.300720	33.213341
4.71	78.633209	33.284962
4.72	78.966415	33.356586
4.73	79.300339	33.428211
4.74	79.634979	33.499840
4.75	79.970337	33.571472
4.76	80.306412	33.643108
4.77	80.643204	33.714745
4.78	80.980713	33.786385
4.79	81.318932	33.858028
4.80	81.657867	33.929672
4.81	81.997520	34.001320
4.82	82.337891	34.072971
